Currency_id,Currency_Type,USD_Rate
1,Afghan Afghani,88.346033
2,Albanian Leke,111.6887
3,Algerian Dinar,142.70317
4,Angolan Kwanza,455.45384
5,Argentine Peso,109.972457
6,Armenian Dram,487.46612
7,Aruban Florin,1.79
8,Australian Dollar,1.354458
9,Azerbaijan Manat,1.698978
10,Bahamian Dollar,1
11,Bahraini Dinar,0.376
12,Bangladeshi Taka,85.971246
13,Barbadian Dollar,2
14,Belarusian Ruble,3.270528
15,Belize Dollar,2.011201
16,Bermudian Dollar,1
17,Bhutanese Ngultrum,76.246106
18,Bolivian Boliviano,6.859937
19,Bosnia and Herzegovina Convertible Mark,1.774038
20,Botswana Pula,11.563436
21,Brazilian Real,4.936961
22,Bruneian Dollar,1.359386
23,Bulgarian Lev,1.77909
24,Burundi Franc,2049.393
25,Cabo Verdean Escudo,0.010003
26,Cambodian Riel,4029.0416
27,Canadian Dollar,1.259187
28,Cayman Islands Dollar,0.82001
29,Central African CFA Franc,594.6855
30,CFP Franc,108.25663
31,Chilean Peso,793.773854
32,Chinese Yuan Renminbi,6.362167
33,Colombian Peso,3816.370602
34,Comorian Franc,446.01412
35,Congolese Franc,2011.2529
36,Costa Rican Colon,644.331
37,Croatian Kuna,6.888236
38,Cuban Peso,24.152322
39,Czech Koruna,22.478909
40,Danish Krone,6.768181
41,Djiboutian Franc,177.79744
42,Dominican Peso,54.870132
43,East Caribbean Dollar,2.701527
44,Egyptian Pound,18.541842
45,Emirati Dirham,3.6725
46,Eritrean Nakfa,15
47,Ethiopian Birr,51.000566
48,European_Euro,0.917154
49,Falkland Islands Pound,0.753348
50,Faroese Krona,6.749215
51,Fijian Dollar,2.092878
52,Gambian Dalasi,53.416465
53,Georgian Lari,3.224795
54,Ghanaian Cedi,7.484806
55,Gibraltar Pound,0.753322
56,Guatemalan Quetzal,7.684478
57,Guernsey Pound,0.753322
58,Guinean Franc,8931.5759
59,Guyanese Dollar,208.4849
60,Haitian Gourde,104.78057
61,Honduran Lempira,24.46983
62,Hong Kong Dollar,7.828419
63,Hungarian Forint,339.695916
64,Icelandic Krona,129.795695
65,Indian Rupee,76.375997
66,Indonesian Rupiah,14345.0312
67,Iranian Rial,42334.79658
68,Iraqi Dinar,1458.5238
69,Israeli Shekel,3.219965
70,Jamaican Dollar,152.41474
71,Japanese Yen,119.888248
72,Jersey Pound,0.753207
73,Jordanian Dinar,0.709
74,Kazakhstani Tenge,508.731151
75,Kenyan Shilling,114.54428
76,Kuwaiti Dinar,0.303962
77,Kyrgyzstani Som,99.876554
78,Lao Kip,11454.082
79,Lebanese Pound,1507.5
80,Lesotho Loti,14.811443
81,Liberian Dollar,153.37443
82,Libyan Dinar,4.649137
83,Macanese Pataca,8.062377
84,Macedonian Denar,55.88113
85,Malagasy Ariary,4019.6668
86,Malawian Kwacha,816.79665
87,Malaysian Ringgit,4.211514
88,Maldivian Rufiyaa,15.410683
89,Manx Pound,0.753207
90,Mauritanian Ouguiya,36.425483
91,Mauritian Rupee,44.310352
92,Mexican Peso,20.406608
93,Moldovan Leu,18.371674
94,Mongolian Tugrik,2929.5268
95,Moroccan Dirham,9.715001
96,Mozambican Metical,63.823356
97,Myanmar Kyat,1775.4348
98,Namibian Dollar,14.810165
99,Nepalese Rupee,122.258878
100,Netherlands Antillean Guilder,1.789901
101,New Zealand Dollar,1.455411
102,Nicaraguan cordoba,35.736951
103,Nigerian Naira,415.39792
104,North Korean Won,899.97486
105,Norwegian Krone,8.768239
106,Omani Rial,0.3845
107,Pakistani Rupee,181.529943
108,Papua New Guinean Kina,3.519957
109,Paraguayan Guarani,6956.8264
110,Peruvian Sol,3.777534
111,Philippine Peso,52.397863
112,Polish Zloty,4.274446
113,Pound_Sterling,0.763315
114,Qatari Riyal,3.64
115,Romanian New Leu,4.498443
116,Russian Ruble,107.166125
117,Rwandan Franc,1018.1663
118,Saint Helena Pound,0.761248
119,Samoan Tala,2.570921
120,Sao Tome and Principe Dobra,22.32552
121,Saudi Arabian Riyal,3.75
122,Serbian Dinar,106.74758
123,Seychellois Rupee,14.447096
124,Sierra Leonean Leone,11674.295
125,Singapore Dollar,1.359386
126,Solomon Islands Dollar,8.078469
127,Somali Shilling,584.34269
128,South African Rand,14.974215
129,South Korean Won,1221.692873
130,South Sudanese Pound,130.26
131,Special Drawing Right,0.724295
132,Sri Lankan Rupee,278.807031
133,Sudanese Pound,447.46203
134,Surinamese Dollar,20.668703
135,Swazi Lilangeni,14.815319
136,Swedish Krona,9.512904
137,Swiss Franc,0.935397
138,Syrian Pound,2512.53
139,Taiwan New Dollar,28.58466
140,Tajikistani Somoni,12.981073
141,Tanzanian Shilling,2319.5059
142,Thai Baht,33.680035
143,Tongan Paanga,2.248829
144,Trinidad and Tobago Dollar,6.775685
145,Tunisian Dinar,2.931697
146,Turkmen Manat,3.493617
147,Turkish Lira,14.828912
148,Ugandan Shilling,3587.8852
149,Ukrainian Hryvnia,29.401986
150,United Arab Emirates Dirham,3.6725
151,United States Dollar,1
152,Uruguayan Peso,42.530006
153,Uzbekistani Som,11578.625
154,Vanuatu Vatu,112.24821
155,Venezuelan Bolivar,430302.8683
156,Vietnamese Dong,22750.324
157,West African CFA Franc,594.98298
158,Yemeni Rial,250.26616
159,Zambian Kwacha,17.633328
